NO	KOPERASI	DESA	KECAMATAN	AKTIF	JENIS KOPERASI	KELOMPOK KOPERASI
820	KOPERASI KONSUMEN PONDOK PESANTREN AL KHOZINY AL FATHIMIYAH MOJOKERTO	Beratkulon	Kemlagi	TRUE	Konsumen	Kop. Lainnya
821	Koperasi Pondok Pesantren Al Bashar	Ds. Mojojajar	Kemlagi	FALSE	Konsumen	Koppontren
822	Koperasi Wanita Bunda Mulia Mojojajar	Ds. Mojojajar 	Kemlagi	TRUE	Konsumen	Kop. Wanita
823	Koperasi Wanita Harapan	Desa Mojosarirejo	Kemlagi	TRUE	Konsumen	Kop. Wanita
824	Koperasi Wanita Kartini	Mojowiryo	Kemlagi	TRUE	Konsumen	Kop. Wanita
825	KSPPS Jannatul Mawa 86	Mojowiryo	Kemlagi	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
826	Koperasi Wanita Sumber Makmur	Desa Mojowatesrejo	Kemlagi	TRUE	Konsumen	Kop. Wanita
827	KSPPS Jannatul Mawa 87	Mojogebang	Kemlagi	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
828	Koperasi Pertanian Maju Makmur	Ds.Mojogebang	Kemlagi	TRUE	Produsen	Kop. Pertanian
829	Koperasi Wanita Dewi Sartika Mojogebang	Ds. Mojogebang 	Kemlagi	TRUE	Konsumen	Kop. Wanita
830	KSPPS Jannatul Mawa 76	Mojopilang	Kemlagi	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
831	Koperasi Pertanian Sidodadi	Mojopilang	Kemlagi	TRUE	Produsen	Kop. Pertanian
832	Koperasi Wanita Melati Mojopilang	Ds. Mojopilang 	Kemlagi	TRUE	Konsumen	Kop. Wanita
833	Koperasi Wanita Sejahtera	Mojokusumo	Kemlagi	TRUE	Konsumen	Kop. Wanita
834	Koperasi Anggrek UP2K PKK	MOJOKUMPUL	Kemlagi	TRUE	Konsumen	Kop. Lainnya
835	Koperasi Serba Usaha Sido Kumpul	Semampir Lor, Mj. Kumpul	Kemlagi	TRUE	Konsumen	Kop. Serba Usaha
836	Koperasi Wanita Anggrek 2	Ds. Mojokumpul	Kemlagi	TRUE	Konsumen	Kop. Wanita
837	Koperasi Wanita Anggrek Putih	Desa Mojo Kumpul	Kemlagi	TRUE	Konsumen	Kop. Wanita
838	KSPPS Jannatul Mawa 78	Japanan	Kemlagi	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
839	Koperasi Wanita Rahayu	Desa Japanan	Kemlagi	TRUE	Konsumen	Kop. Wanita
840	Koperasi Pertanian KMDH Tanjung Lestari	Ds. Tanjungan	Kemlagi	FALSE	Produsen	Kop. Pertanian
