NO	KOPERASI	DESA	KECAMATAN	AKTIF	JENIS KOPERASI	KELOMPOK KOPERASI
35	Koperasi Wanita Mandiri Sejati	Desa Dinoyo	Jatirejo	TRUE	Konsumen	Kop. Wanita
36	Koperasi Mandiri Sejati	Dinoyo 	Jatirejo	TRUE	Konsumen	Kop. Wanita
37	KSPPS Jannatul Mawa 44	Padangasri	Jatirejo	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
38	Koperasi Pondok Pesantren Al Huda	Ds. Padangsari	Jatirejo	FALSE	Konsumen	Koppontren
39	Koperasi Wanita Sari Asri	Desa Padangasri	Jatirejo	TRUE	Konsumen	Kop. Wanita
40	Koperasi Pondok Pesantren Bidayatul Hidayah	Ds. Mojogeneng	Jatirejo	FALSE	Konsumen	Koppontren
41	Koperasi Pondok Pesantren Al Maba	Ds. Mojogeneng	Jatirejo	TRUE	Konsumen	Koppontren
42	KOPERASI PRODUSEN PONDOK PESANTREN PPBH ASRAMA DARUSSALAM ARRUGHBAH	Mojogeneng	Jatirejo	TRUE	Produsen	Kop. Lainnya
43	Koperasi Wanita Ngarjo Jaya	Desa Dukuhngarjo	Jatirejo	TRUE	Konsumen	Kop. Wanita
44	Koperasi Wanita Indah Abadi	Ds. Karang Jeruk 	Jatirejo	TRUE	Konsumen	Kop. Wanita
45	Koperasi Karya Mandiri	Pohjejer 	Gondang	TRUE	Konsumen	Kop. Lainnya
46	Koperasi Pegawai Negeri Raharjo	Pugeran	Gondang	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
47	KSPPS Jannatul Mawa 24	Pugeran	Gondang	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
48	Koperasi Unit Desa Tani Bahagia	Pugeran	Gondang	TRUE	Pemasaran	KUD
49	Koperasi Pertanian Al Muawanah	Ds. Pugeran	Gondang	FALSE	Produsen	Kop. Pertanian
50	Kopti Rukun Sejahtera	Ds. Pugeran	Gondang	FALSE	Produsen	Kopti
51	Koperasi Simpan Pinjam Gotong Royong	Pugeran	Gondang	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
52	Koperasi Wanita Berdikari	Ds. Pugeran	Gondang	TRUE	Konsumen	Kop. Wanita
53	Koperasi Wanita Gumeng Damai	Desa Gumeng	Gondang	TRUE	Konsumen	Kop. Wanita
54	Koperasi Pertanian KMDH SeloKendit	Begagan Lima	Gondang	TRUE	Produsen	Kop. Pertanian
55	Koperasi Wanita Cinta Lestari	Desa Begaganlimo	Gondang	TRUE	Konsumen	Kop. Wanita
56	Koperasi Wanita Kalikatir Lestari	Desa Kalikatir	Gondang	TRUE	Konsumen	Kop. Wanita
57	Koperasi Wanita Dilem Sejahtera	Ds. Dilem 	Gondang	TRUE	Konsumen	Kop. Wanita
58	Koperasi Pertanian Sumber Makmur	Ds.Ngembat	Gondang	TRUE	Produsen	Kop. Pertanian
59	Koperasi Wanita Tali Asih	Ds. Ngembat 	Gondang	TRUE	Konsumen	Kop. Wanita
60	Koperasi Simpan Pinjam Surya Mojopahit	Jatidukuh	Gondang	FALSE	Simpan Pinjam	Kop. Simpan Pinjam
61	Koperasi Wanita Dukuh Melati	Jatidukuh 	Gondang	TRUE	Konsumen	Kop. Wanita
62	Koperasi Jaya Makmur Bahagia	Ds. Bening	Gondang	TRUE	Konsumen	Kop. Serba Usaha
63	Koperasi Wanita Bening Anggrek	 Bening 	Gondang	TRUE	Konsumen	Kop. Wanita
64	Koperasi Pertanian Tirto Panguripan	Desa Karangkuten	Gondang	TRUE	Produsen	Kop. Pertanian
65	Koperasi Serba Usaha Tirto Panguripan	Ds. Karangkuten	Gondang	TRUE	Konsumen	Kop. Serba Usaha
66	Koperasi Wanita Maharani	Ds. Karangkuten 	Gondang	TRUE	Konsumen	Kop. Wanita
67	Koperasi Wanita Barokah	Desa Tawar	Gondang	TRUE	Konsumen	Kop. Wanita
68	Koperasi Wanita Gleges - UP2K	Ds. Tawar - Gondang	Gondang	FALSE	Konsumen	Kop. Wanita
69	Koperasi Jasa Keuangan Syariah Berkah Abadi	Pohjejer	Gondang	TRUE	Produsen	Kop. Lainnya
70	Koperasi Tentrem MPU 1 Mojokerto Pacet	Pohjejer	Gondang	TRUE	Konsumen	Kop. Serba Usaha
71	Koperasi Wanita Mekar Abadi	Desa Pohjejer	Gondang	TRUE	Konsumen	Kop. Wanita
72	Koperasi Pertanian Mardi Tani Utomo	Ds. Wonoploso	Gondang	TRUE	Produsen	Kop. Pertanian
73	Koperasi Wanita Ploso Indah	Desa Wono Ploso	Gondang	TRUE	Konsumen	Kop. Wanita
74	Koperasi Simpan Pinjam Mitra Raya	Pohjejer	Gondang	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
75	Koperasi Serba Usaha Citra Insani	Gondang	Gondang	FALSE	Konsumen	Kop. Serba Usaha
76	Koperasi Wanita Lestari - UP2K	Gondang	Gondang	FALSE	Konsumen	Kop. Wanita
77	Koperasi Abdi Ummat	Ds.Gondang	Gondang	FALSE	Konsumen	Kop. Lainnya
78	Koperasi Wanita Kartini Gondang	Desa Gondang	Gondang	TRUE	Konsumen	Kop. Wanita
79	Koperasi Wanita Kartini	Desa Kebontunggul	Gondang	TRUE	Konsumen	Kop. Wanita
80	Koperasi Wanita Kartini 3 - UP2K	Kebontunggul	Gondang	FALSE	Konsumen	Kop. Wanita
81	KSPPS Jannatul Mawa 22	Kemasantani	Gondang	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
82	Koperasi Wanita Kemasantani Jaya	Kemasanatani 	Gondang	TRUE	Konsumen	Kop. Wanita
83	Koperasi Wanita Padi Indah	Desa Padi	Gondang	TRUE	Konsumen	Kop. Wanita
84	Koperasi Wanita Rosselli	Ds.Bakalan	Gondang	TRUE	Konsumen	Kop. Wanita
85	Koperasi Wanita Centong Makmur	Ds.Centong	Gondang	TRUE	Konsumen	Kop. Wanita
86	Koperasi Masyarakat Persatuan	Ds. Sajen	Pacet	FALSE	Konsumen	Kop. Serba Usaha
87	Koperasi Serba Usaha Sakya Danamulya	Ds. Ketapan Rame	Pacet	TRUE	Konsumen	Kop. Lainnya
88	Koperasi Pertanian Sido Makmur	Ds. Mlaten	Pacet	FALSE	Produsen	Kop. Pertanian
89	Koperasi Pertanian Thukul Lestari	-	Pacet	TRUE	Produsen	Kop. Pertanian
90	Koperasi Wanita Mekar Sari	Ds. Sajen	Pacet	FALSE	Konsumen	Kop. Wanita
91	Koperasi Pemuda Remas Taqwa	Ds. Pacet	Pacet	TRUE	Konsumen	Kop. Pemuda
92	Koperasi Pegawai Negeri Brantas	-	Pacet	FALSE	Konsumen	Kop. Pegawai Negeri (KPRI)
93	Koperasi Wanita As Sakinah	Desa Warugunung	Pacet	TRUE	Konsumen	Kop. Wanita
94	Koperasi Wanita Arto Moro	Ds. Candi 	Pacet	TRUE	Konsumen	Kop. Wanita
